instance_id,winner,byllm_status,langgraph_status,byllm_patch_bytes,langgraph_patch_bytes,gold_patch_bytes,byllm_run_error,langgraph_run_error,identical_patch,excluded_reason
astropy__astropy-12907,byllm,RESOLVED,REGRESSION(P2P),996,1519,470,,,False,
django__django-11133,byllm,RESOLVED,TESTS_FAIL,569,816,581,,,False,
django__django-11999,langgraph,REGRESSION(P2P),RESOLVED,1439,819,870,,,False,
django__django-12184,byllm,RESOLVED,EMPTY_PATCH,567,0,685,timeout,infra(container),False,langgraph had no patch: udocker could not create the container
django__django-12497,langgraph,TESTS_FAIL,RESOLVED,1399,1393,1411,,,False,
django__django-12700,langgraph,TESTS_FAIL,RESOLVED,59096,603,675,,,False,
django__django-12708,byllm,RESOLVED,TESTS_FAIL,618,907,850,,,False,
django__django-12983,byllm,RESOLVED,TESTS_FAIL,509,539,1199,,,False,
django__django-13230,langgraph,TESTS_FAIL,RESOLVED,990,572,631,,,False,
django__django-13315,byllm,RESOLVED,TESTS_FAIL,1315,651,1186,,,False,
django__django-13590,langgraph,REGRESSION(P2P),RESOLVED,674,1107,823,,,False,
django__django-13710,langgraph,TESTS_FAIL,RESOLVED,622,733,900,,,False,
django__django-13757,langgraph,TESTS_FAIL,RESOLVED,1415,1423,1438,,,False,
django__django-13925,byllm,RESOLVED,TESTS_FAIL,554,614,630,timeout,,False,
django__django-13933,langgraph,TESTS_FAIL,RESOLVED,635,1599,687,,,False,
django__django-14017,byllm,RESOLVED,TESTS_FAIL,1539,468,624,,,False,
django__django-14608,langgraph,TESTS_FAIL,RESOLVED,1218,440,881,,,False,
django__django-14672,byllm,RESOLVED,TESTS_FAIL,512,506,511,,,False,
django__django-15347,byllm,RESOLVED,TESTS_FAIL,1345,1188,659,,,False,
django__django-15789,langgraph,TESTS_FAIL,RESOLVED,2621,1907,907,,,False,
django__django-15790,langgraph,TESTS_FAIL,RESOLVED,990,945,1371,,,False,
matplotlib__matplotlib-23314,byllm,RESOLVED,TESTS_FAIL,1499,121727,421,,api-400,False,
matplotlib__matplotlib-24970,langgraph,TESTS_FAIL,RESOLVED,1228,757,1598,,,False,
matplotlib__matplotlib-25311,langgraph,TESTS_FAIL,RESOLVED,8500,664,924,,,False,
matplotlib__matplotlib-26020,byllm,RESOLVED,TESTS_FAIL,835,776,1137,,,False,
psf__requests-2317,byllm,RESOLVED,TESTS_FAIL,1377,1377,763,timeout,timeout,True,identical patches; requests network suite timed out on the langgraph grade
psf__requests-863,byllm,RESOLVED,TESTS_FAIL,1166,1027,525,,,False,
pylint-dev__pylint-5859,byllm,RESOLVED,TESTS_FAIL,1999,500,612,,,False,
pytest-dev__pytest-5692,langgraph,TESTS_FAIL,RESOLVED,912,649,675,,,False,
pytest-dev__pytest-7373,byllm,RESOLVED,TESTS_FAIL,753,1285,1486,,,False,
pytest-dev__pytest-7432,byllm,RESOLVED,TESTS_FAIL,888,796,456,,,False,
pytest-dev__pytest-7490,langgraph,TESTS_FAIL,RESOLVED,1109,485,1711,,,False,
scikit-learn__scikit-learn-13241,byllm,RESOLVED,REGRESSION(P2P),606,702,995,,,False,
scikit-learn__scikit-learn-13439,langgraph,EMPTY_PATCH,RESOLVED,0,525,502,infra(container),,False,byllm had no patch: udocker could not create the container
scikit-learn__scikit-learn-14894,langgraph,TESTS_FAIL,RESOLVED,650,1175,1050,,,False,
scikit-learn__scikit-learn-15512,langgraph,TESTS_FAIL,RESOLVED,732,1925,1348,,,False,
sympy__sympy-13031,langgraph,TESTS_FAIL,RESOLVED,580,785,1047,,,False,
sympy__sympy-15609,byllm,RESOLVED,TESTS_FAIL,532,80827,534,,,False,
sympy__sympy-16792,byllm,RESOLVED,TESTS_FAIL,658,698,1793,,,False,
sympy__sympy-20442,langgraph,TESTS_FAIL,RESOLVED,644,492,1025,,,False,
sympy__sympy-24152,langgraph,HARNESS_ERROR,RESOLVED,932,932,1075,,,True,identical patches; byllm grade errored in the harness
sympy__sympy-24213,langgraph,TESTS_FAIL,RESOLVED,691,691,655,,,True,identical patches; grading flake (all P2P failed on the byllm grade)
