instance_id,repo,resolved_by,byllm_status,langgraph_status,byllm_patch_bytes,langgraph_patch_bytes,byllm_run_error,langgraph_run_error,gold_patch_bytes,gold_files,identical_patches
astropy__astropy-12907,astropy/astropy,byllm,RESOLVED,REGRESSION(P2P),996,1519,,,470,astropy/modeling/separable.py,False
django__django-11133,django/django,byllm,RESOLVED,SUITE_ERROR,569,816,,,581,django/http/response.py,False
django__django-11999,django/django,langgraph,REGRESSION(P2P),RESOLVED,1439,819,,,870,django/db/models/fields/__init__.py,False
django__django-12184,django/django,byllm,RESOLVED,EMPTY_PATCH,567,0,timeout,infra(container),685,django/urls/resolvers.py,False
django__django-12497,django/django,langgraph,TESTS_FAIL,RESOLVED,1399,1393,,,1411,django/db/models/fields/related.py,False
django__django-12700,django/django,langgraph,TESTS_FAIL,RESOLVED,59100,603,,,675,django/views/debug.py,False
django__django-12708,django/django,byllm,RESOLVED,TESTS_FAIL,618,907,,,850,django/db/backends/base/schema.py,False
django__django-12983,django/django,byllm,RESOLVED,TESTS_FAIL,509,539,,,1199,django/utils/text.py,False
django__django-13230,django/django,langgraph,TESTS_FAIL,RESOLVED,990,572,,,631,django/contrib/syndication/views.py,False
django__django-13315,django/django,byllm,RESOLVED,TESTS_FAIL,1315,651,,,1186,django/forms/models.py,False
django__django-13590,django/django,langgraph,REGRESSION(P2P),RESOLVED,674,1107,,,823,django/db/models/sql/query.py,False
django__django-13710,django/django,langgraph,TESTS_FAIL,RESOLVED,622,733,,,900,django/contrib/admin/options.py,False
django__django-13757,django/django,langgraph,TESTS_FAIL,RESOLVED,1415,1423,,,1438,django/db/models/fields/json.py,False
django__django-13925,django/django,byllm,RESOLVED,TESTS_FAIL,554,614,timeout,,630,django/db/models/base.py,False
django__django-13933,django/django,langgraph,TESTS_FAIL,RESOLVED,635,1599,,,687,django/forms/models.py,False
django__django-14017,django/django,byllm,RESOLVED,TESTS_FAIL,1539,468,,,624,django/db/models/query_utils.py,False
django__django-14608,django/django,langgraph,TESTS_FAIL,RESOLVED,1218,440,,,881,django/forms/formsets.py,False
