instance_id,repo,resolved_by,diverged,byllm_status,langgraph_status,byllm_patch_bytes,langgraph_patch_bytes,byllm_run_error,langgraph_run_error,gold_patch_bytes,f2p,p2p
astropy__astropy-12907,astropy/astropy,byllm,True,RESOLVED,REGRESSION(P2P),996,1519,,,470,2,13
astropy__astropy-14182,astropy/astropy,,False,TESTS_FAIL,TESTS_FAIL,915,552,,,2186,1,9
astropy__astropy-14365,astropy/astropy,,False,TESTS_FAIL,TESTS_FAIL,944,617,,,955,1,8
astropy__astropy-14995,astropy/astropy,,False,TESTS_FAIL,TESTS_FAIL,682,775,,,869,1,179
astropy__astropy-6938,astropy/astropy,,False,TESTS_FAIL,TESTS_FAIL,516,516,,,493,2,11
astropy__astropy-7746,astropy/astropy,,False,SUITE_ERROR,TESTS_FAIL,565,567,,,861,1,56
django__django-10914,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,1200,625,timeout,,582,1,98
django__django-10924,django/django,,False,TESTS_FAIL,TESTS_FAIL,779,1522,,,530,1,1
django__django-11001,django/django,,False,TESTS_FAIL,SUITE_ERROR,761,1483,,,615,2,118
django__django-11019,django/django,,False,EMPTY_PATCH,TESTS_FAIL,0,704,,,4929,16,58
django__django-11039,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,658,658,,,793,1,88
django__django-11049,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,1138,1138,,,530,1,8
django__django-11099,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,901,901,,,808,3,19
django__django-11133,django/django,byllm,True,RESOLVED,SUITE_ERROR,569,816,,,581,1,64
django__django-11179,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,614,614,,,579,1,40
django__django-11283,django/django,,False,TESTS_FAIL,TESTS_FAIL,1128,1176,,,2360,1,8
django__django-11422,django/django,,False,TESTS_FAIL,TESTS_FAIL,629,783,,,1097,1,46
django__django-11564,django/django,,False,TESTS_FAIL,TESTS_FAIL,1993,1959,timeout,,1904,2,174
django__django-11583,django/django,,False,TESTS_FAIL,TESTS_FAIL,664,2693,,,613,2,50
django__django-11620,django/django,,False,TESTS_FAIL,TESTS_FAIL,953,1322,,,906,1,66
django__django-11630,django/django,,False,TESTS_FAIL,TESTS_FAIL,2313,1020,,,1753,2,16
django__django-11742,django/django,,False,SUITE_ERROR,SUITE_ERROR,1366,89369,,,1880,2,43
django__django-11797,django/django,,False,SUITE_ERROR,TESTS_FAIL,2687,782,,,780,1,38
django__django-11815,django/django,,False,TESTS_FAIL,TESTS_FAIL,2029,664,,,739,2,44
django__django-11848,django/django,,False,TESTS_FAIL,TESTS_FAIL,749,657,,,869,2,43
django__django-11905,django/django,,False,TESTS_FAIL,TESTS_FAIL,1480,539,,,1245,2,38
django__django-11910,django/django,,False,TESTS_FAIL,TESTS_FAIL,823,911,,,942,1,110
django__django-11964,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,428,619,timeout,,559,2,15
django__django-11999,django/django,langgraph,True,REGRESSION(P2P),RESOLVED,1439,819,,,870,1,30
django__django-12113,django/django,,False,TESTS_FAIL,TESTS_FAIL,882,562,,,472,1,0
django__django-12125,django/django,,False,TESTS_FAIL,TESTS_FAIL,849,722,,,546,2,45
django__django-12184,django/django,byllm,True,RESOLVED,EMPTY_PATCH,567,0,timeout,infra(container),685,1,25
django__django-12284,django/django,,False,TESTS_FAIL,TESTS_FAIL,595,1310,,,962,1,31
django__django-12286,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,725,759,timeout,,919,1,7
django__django-12308,django/django,,False,TESTS_FAIL,TESTS_FAIL,684,667,,,684,2,20
django__django-12453,django/django,,False,TESTS_FAIL,TESTS_FAIL,723,723,,,1395,1,5
django__django-12470,django/django,,False,TESTS_FAIL,TESTS_FAIL,490,716,,,1112,1,33
django__django-12497,django/django,langgraph,True,TESTS_FAIL,RESOLVED,1399,1393,,,1411,2,82
django__django-12589,django/django,,False,TESTS_FAIL,REGRESSION(P2P),569,2831,,,1557,1,66
django__django-12700,django/django,langgraph,True,TESTS_FAIL,RESOLVED,59100,603,,,675,1,77
django__django-12708,django/django,byllm,True,RESOLVED,TESTS_FAIL,618,907,,,850,1,101
django__django-12747,django/django,,False,TESTS_FAIL,TESTS_FAIL,575,605,,,1036,3,49
django__django-12856,django/django,,False,SUITE_ERROR,SUITE_ERROR,85130,1167,,,588,3,78
django__django-12908,django/django,,False,EMPTY_PATCH,HARNESS_ERROR,0,1143,,,496,2,25
django__django-12915,django/django,,False,TESTS_FAIL,TESTS_FAIL,4825,783,,,899,3,8
django__django-12983,django/django,byllm,True,RESOLVED,TESTS_FAIL,509,539,,,1199,1,15
django__django-13028,django/django,,False,TESTS_FAIL,TESTS_FAIL,824,1286,,,693,2,276
django__django-13033,django/django,,False,EMPTY_PATCH,EMPTY_PATCH,0,0,,,970,1,26
django__django-13158,django/django,,False,TESTS_FAIL,TESTS_FAIL,783,733,,,961,1,29
django__django-13220,django/django,,False,TESTS_FAIL,TESTS_FAIL,699,745,,,1176,4,1
django__django-13230,django/django,langgraph,True,TESTS_FAIL,RESOLVED,990,572,,,631,1,23
django__django-13265,django/django,,False,EMPTY_PATCH,TESTS_FAIL,0,1361,,,2463,4,119
django__django-13315,django/django,byllm,True,RESOLVED,TESTS_FAIL,1315,651,,,1186,1,146
django__django-13321,django/django,,False,TESTS_FAIL,TESTS_FAIL,827,747,,,982,355,0
django__django-13401,django/django,,False,TESTS_FAIL,TESTS_FAIL,1159,1224,,,2030,1,32
django__django-13447,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,1701,1701,,,492,1,5
django__django-13448,django/django,,False,TESTS_FAIL,TESTS_FAIL,751,765,timeout,,1589,1,7
django__django-13551,django/django,,False,TESTS_FAIL,TESTS_FAIL,782,782,,,1557,2,56
django__django-13590,django/django,langgraph,True,REGRESSION(P2P),RESOLVED,674,1107,,,823,1,145
django__django-13658,django/django,byllm+langgraph,False,RESOLVED,RESOLVED,831,831,,,854,1,181
django__django-13660,django/django,,False,TESTS_FAIL,REGRESSION(P2P),544,917,,,894,2,6
