instance_id,repo,resolved_by,diverged,byllm_status,langgraph_status,openai_status,byllm_patch_bytes,langgraph_patch_bytes,openai_patch_bytes,byllm_run_error,langgraph_run_error,openai_run_error,gold_patch_bytes,f2p,p2p
astropy__astropy-12907,astropy/astropy,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,504,1010,504,,,,470,2,13
django__django-11133,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1758,1128,1128,,,,581,1,64
django__django-11999,django/django,langgraph+openai,True,EMPTY_PATCH,RESOLVED,RESOLVED,0,816,946,,,,870,1,30
django__django-12497,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1393,1393,1393,,,,1411,2,82
django__django-12700,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1716,1000,2984,,,,675,1,77
django__django-12708,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,754,977,754,,,,850,1,101
django__django-12983,django/django,byllm+openai,True,RESOLVED,TESTS_FAIL,RESOLVED,960,509,509,,,,1199,1,15
django__django-13230,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,556,556,556,,,,631,1,23
django__django-13315,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,2056,674,886,,,,1186,1,146
django__django-13590,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,917,1285,985,,,,823,1,145
django__django-13710,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,939,753,1272,,,,900,1,62
django__django-13757,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,2210,1462,1959,,,,1438,1,76
django__django-13925,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,592,903,769,,,,630,2,24
django__django-13933,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1212,1215,1203,,,,687,1,19
django__django-14017,django/django,langgraph+openai,True,TESTS_FAIL,RESOLVED,RESOLVED,768,1817,1764,,,,624,2,147
django__django-14608,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,861,1913,861,,,,881,4,394
django__django-14672,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,512,512,512,,,,511,168,0
django__django-15347,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,711,711,711,,,,659,1,29
django__django-15789,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1057,1076,972,,,,907,1,17
django__django-15790,django/django,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,935,945,921,,,,1371,1,12
matplotlib__matplotlib-24970,matplotlib/matplotlib,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1625,1706,1907,,,timeout,1598,1,253
matplotlib__matplotlib-25311,matplotlib/matplotlib,,False,TESTS_FAIL,TESTS_FAIL,TESTS_FAIL,2431,2597,1663,timeout,,,924,1,181
matplotlib__matplotlib-26020,matplotlib/matplotlib,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,2408,1682,1919,timeout,,,1137,1,48
psf__requests-863,psf/requests,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,623,709,628,,,,525,4,60
pylint-dev__pylint-5859,pylint-dev/pylint,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,652,1072,652,,,,612,1,10
pytest-dev__pytest-5692,pytest-dev/pytest,,False,TESTS_FAIL,TESTS_FAIL,TESTS_FAIL,1149,65947,65962,,,,675,2,68
pytest-dev__pytest-7373,pytest-dev/pytest,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1753,966,1664,,,,1486,1,81
pytest-dev__pytest-7432,pytest-dev/pytest,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1578,1217,1227,,,,456,1,77
pytest-dev__pytest-7490,pytest-dev/pytest,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,997,654,642,,,,1711,2,78
scikit-learn__scikit-learn-13241,scikit-learn/scikit-learn,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,831,840,1171,,,,995,1,54
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1392,2436,2436,,,,1050,1,85
scikit-learn__scikit-learn-15512,scikit-learn/scikit-learn,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,2073,1570,3216,,,,1348,1,9
sympy__sympy-13031,sympy/sympy,langgraph+openai,True,TESTS_FAIL,RESOLVED,RESOLVED,1864,2676,741,,timeout,,1047,1,9
sympy__sympy-15609,sympy/sympy,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,532,892,611,,,,534,1,121
sympy__sympy-16792,sympy/sympy,langgraph+openai,True,REGRESSION(P2P),RESOLVED,RESOLVED,3781,2882,4650,,,,1793,1,54
sympy__sympy-20442,sympy/sympy,byllm+langgraph+openai,False,RESOLVED,RESOLVED,RESOLVED,1278,582,1905,,,,1025,1,24
