resuming: 2 instance(s) already graded
grading 298 instance(s), 3 worker(s), 4.8G free
evicted 58 image(s) scheduled last; 14.2G free
[1/298] astropy__astropy-14365 no (11.1G free)
[2/298] astropy__astropy-14995 no (11.5G free)
[3/298] astropy__astropy-14182 no (9.7G free)
[4/298] astropy__astropy-6938 no (13.5G free)
[5/298] django__django-10924 no (13.8G free)
[6/298] django__django-10914 RESOLVED (10.5G free)
[7/298] django__django-11039 RESOLVED (14.1G free)
[8/298] django__django-11019 no (14.4G free)
[9/298] django__django-11099 RESOLVED (12.6G free)
[10/298] django__django-11049 RESOLVED (13.4G free)
[11/298] django__django-11133 no (13.3G free)
[12/298] django__django-11001 no (13.7G free)
[13/298] astropy__astropy-12907 no (15.5G free)
[14/298] django__django-11179 RESOLVED (12.0G free)
[15/298] django__django-11422 no (14.7G free)
[16/298] django__django-11283 no (16.1G free)
[17/298] django__django-11630 no (14.0G free)
[18/298] django__django-11583 no (15.5G free)
[19/298] django__django-11620 no (16.9G free)
[20/298] django__django-11848 no (14.7G free)
[21/298] django__django-11564 no (16.1G free)
[22/298] django__django-11742 no (18.4G free)
[23/298] django__django-11815 no (15.9G free)
[24/298] django__django-11797 no (18.6G free)
[25/298] django__django-11999 RESOLVED (19.5G free)
[26/298] django__django-12113 no (17.5G free)
[27/298] django__django-11910 no (17.7G free)
[28/298] django__django-12184 no (18.0G free)
[29/298] django__django-11905 no (20.6G free)
[30/298] django__django-12125 no (17.1G free)
[31/298] django__django-12286 RESOLVED (20.8G free)
[32/298] django__django-12308 no (21.1G free)
[33/298] django__django-11964 RESOLVED (16.3G free)
[34/298] django__django-12284 no (21.5G free)
[35/298] django__django-12497 RESOLVED (21.6G free)
[36/298] django__django-12708 no (19.8G free)
[37/298] django__django-12453 no (20.0G free)
[38/298] django__django-12700 RESOLVED (22.6G free)
[39/298] django__django-12589 no (19.6G free)
[40/298] django__django-12908 no (20.6G free)
[41/298] django__django-12747 no (21.1G free)
[42/298] django__django-12470 no (24.0G free)
[43/298] django__django-12856 no (19.5G free)
[44/298] django__django-13028 no (24.4G free)
[45/298] django__django-12915 no (24.6G free)
[46/298] django__django-13033 no (24.6G free)
    pulling swebench/sweb.eval.x86_64.django_1776_django-13265:latest
[47/298] django__django-13158 no (19.6G free)
[48/298] django__django-13230 RESOLVED (22.2G free)
[49/298] django__django-13265 no (23.9G free)
[50/298] django__django-12983 no (20.5G free)
[51/298] django__django-13321 no (23.1G free)
[52/298] django__django-13315 no (24.6G free)
[53/298] django__django-13551 no (20.6G free)
[54/298] django__django-13448 no (26.0G free)
[55/298] django__django-13447 RESOLVED (26.1G free)
[56/298] django__django-13590 RESOLVED (21.5G free)
[57/298] django__django-13660 no (25.7G free)
[58/298] django__django-13757 RESOLVED (26.6G free)
[59/298] django__django-13401 no (21.8G free)
[60/298] django__django-13710 RESOLVED (24.0G free)
[61/298] django__django-13768 no (22.7G free)
[62/298] django__django-13933 RESOLVED (24.7G free)
[63/298] django__django-13658 RESOLVED (25.8G free)
[64/298] django__django-14016 no (23.3G free)
[65/298] django__django-13964 no (26.0G free)
[66/298] django__django-13925 no (27.1G free)
[67/298] django__django-14017 no (23.4G free)
[68/298] django__django-14238 RESOLVED (25.6G free)
[69/298] django__django-14411 no (23.7G free)
[70/298] django__django-14534 no (25.9G free)
[71/298] django__django-14382 RESOLVED (28.6G free)
[72/298] django__django-14667 no (24.4G free)
[73/298] django__django-14730 no (27.7G free)
[74/298] django__django-14608 RESOLVED (26.6G free)
[75/298] django__django-14155 no (26.6G free)
[76/298] django__django-14752 RESOLVED (28.1G free)
[77/298] django__django-14580 no (27.8G free)
[78/298] django__django-14787 no (28.3G free)
[79/298] django__django-14915 RESOLVED (28.4G free)
[80/298] django__django-14672 no (28.4G free)
[81/298] django__django-14999 RESOLVED (25.6G free)
[82/298] django__django-14997 no (28.6G free)
[83/298] django__django-15202 no (29.2G free)
[84/298] django__django-15213 no (26.6G free)
[85/298] django__django-15252 no (28.4G free)
[86/298] django__django-14855 RESOLVED (28.7G free)
[87/298] django__django-15320 no (28.0G free)
[88/298] django__django-15061 no (29.0G free)
    pulling swebench/sweb.eval.x86_64.django_1776_django-15388:latest
[89/298] django__django-15400 no (30.6G free)
[90/298] django__django-15347 no (28.5G free)
[91/298] django__django-15388 no (29.1G free)
[92/298] django__django-15498 RESOLVED (31.6G free)
[93/298] django__django-15789 RESOLVED (30.0G free)
[94/298] django__django-15781 no (30.2G free)
[95/298] django__django-15790 RESOLVED (32.1G free)
[96/298] django__django-15814 RESOLVED (31.2G free)
[97/298] django__django-15819 no (30.7G free)
[98/298] django__django-15851 RESOLVED (32.9G free)
[99/298] django__django-15738 no (31.4G free)
[100/298] django__django-15902 RESOLVED (31.1G free)
[101/298] django__django-16041 RESOLVED (33.8G free)
[102/298] django__django-16046 RESOLVED (32.5G free)
[103/298] django__django-16139 RESOLVED (31.5G free)
[104/298] django__django-15996 no (34.1G free)
[105/298] django__django-15695 no (31.5G free)
    pulling swebench/sweb.eval.x86_64.django_1776_django-16408:latest
[106/298] django__django-16255 RESOLVED (34.5G free)
[107/298] django__django-16595 RESOLVED (36.9G free)
[108/298] django__django-16408 no (37.5G free)
[109/298] django__django-16379 RESOLVED (38.0G free)
[110/298] django__django-16400 no (37.2G free)
[111/298] django__django-16816 no (38.3G free)
[112/298] django__django-16527 RESOLVED (38.5G free)
[113/298] django__django-16910 no (38.3G free)
[114/298] django__django-16820 no (38.9G free)
[115/298] django__django-17051 no (39.4G free)
[116/298] django__django-16873 RESOLVED (36.1G free)
[117/298] django__django-16229 no (36.8G free)
[118/298] matplotlib__matplotlib-18869 no (38.2G free)
[119/298] django__django-17087 no (30.9G free)
[120/298] matplotlib__matplotlib-22711 no (36.8G free)
[121/298] matplotlib__matplotlib-22835 no (36.9G free)
[122/298] matplotlib__matplotlib-23314 no (33.4G free)
[123/298] matplotlib__matplotlib-23563 no (39.5G free)
[124/298] matplotlib__matplotlib-23476 no (37.6G free)
[125/298] matplotlib__matplotlib-23562 no (39.5G free)
[126/298] matplotlib__matplotlib-23913 RESOLVED (40.8G free)
[127/298] matplotlib__matplotlib-23987 no (45.9G free)
[128/298] matplotlib__matplotlib-23299 no (47.8G free)
[129/298] matplotlib__matplotlib-23964 RESOLVED (44.2G free)
[130/298] matplotlib__matplotlib-24970 RESOLVED (42.6G free)
[131/298] matplotlib__matplotlib-25079 no (50.0G free)
