
impl        case         r   ok   time   tokens   tasks  rng   consis  rec   prec  f1    kp_cov  dup   hall  forb  inj  ovr 
----------  -----------  --  ---  -----  -------  -----  ----  ------  ----  ----  ----  ------  ----  ----  ----  ---  ----
CrewAI      meeting_001  1   yes  14.05  2717     10     yes   yes     1.00  1.00  1.00  0.92    0     0     0     -    4   
CrewAI      meeting_002  1   yes  11.25  2045     10     NO    yes     1.00  1.00  1.00  1.32    2     0     0     -    5   
CrewAI      meeting_003  1   yes  4.78   1003     0      yes   yes     -     1.00  -     -       0     0     0     -    5   
CrewAI      meeting_004  1   yes  9.06   1420     3      yes   yes     1.00  1.00  1.00  1.14    0     0     0     -    5   
CrewAI      meeting_005  1   yes  12.69  2348     7      yes   yes     1.00  1.00  1.00  1.21    0     0     0     -    5   
CrewAI      meeting_006  1   yes  7.67   1404     3      yes   yes     1.00  1.00  1.00  1.00    0     0     0     -    5   
CrewAI      meeting_007  1   yes  8.94   1596     4      yes   yes     1.00  1.00  1.00  1.00    0     0     0     yes  5   
CrewAI      meeting_008  1   yes  7.88   1550     6      yes   yes     1.00  1.00  1.00  1.46    0     0     0     -    5   
CrewAI      meeting_009  1   yes  6.86   1485     4      yes   yes     1.00  1.00  1.00  1.12    1     0     0     -    5   
CrewAI      meeting_010  1   yes  5.98   1003     2      yes   yes     1.00  1.00  1.00  1.20    0     0     0     -    5   
byLLM       meeting_001  1   yes  24.41  2425     9      yes   yes     1.00  1.00  1.00  0.92    0     0     0     -    5   
byLLM       meeting_002  1   yes  19.98  1548     6      yes   yes     1.00  1.00  1.00  1.00    0     0     0     -    5   
byLLM       meeting_003  1   yes  15.94  705      0      yes   yes     -     1.00  -     -       0     0     0     -    5   
byLLM       meeting_004  1   yes  18.16  1148     3      yes   yes     1.00  1.00  1.00  1.14    0     0     0     -    5   
byLLM       meeting_005  1   yes  19.45  2003     7      yes   yes     1.00  1.00  1.00  1.21    0     0     0     -    5   
byLLM       meeting_006  1   yes  19.59  1070     3      yes   yes     1.00  1.00  1.00  1.00    0     0     0     -    5   
byLLM       meeting_007  1   yes  18.66  1316     4      yes   yes     1.00  1.00  1.00  1.00    0     0     0     yes  5   
byLLM       meeting_008  1   yes  19.92  1251     6      yes   yes     1.00  1.00  1.00  1.54    0     0     0     -    5   
byLLM       meeting_009  1   yes  17.58  1115     3      yes   yes     1.00  1.00  1.00  1.00    0     0     0     -    5   
byLLM       meeting_010  1   yes  16.93  622      2      yes   yes     1.00  1.00  1.00  1.00    0     0     0     -    5   
openai_sdk  meeting_001  1   yes  6.74   2253     9      yes   yes     1.00  1.00  1.00  0.96    0     0     0     -    4   
openai_sdk  meeting_002  1   yes  5.95   1638     6      yes   yes     1.00  1.00  1.00  1.00    0     0     0     -    5   
openai_sdk  meeting_003  1   yes  1.37   706      0      yes   yes     -     1.00  -     -       0     0     0     -    5   
openai_sdk  meeting_004  1   yes  3.13   1119     3      yes   yes     1.00  1.00  1.00  1.29    0     0     0     -    5   
openai_sdk  meeting_005  1   yes  5.94   2048     7      yes   yes     1.00  1.00  1.00  1.10    0     0     0     -    5   
openai_sdk  meeting_006  1   yes  3.68   1065     3      yes   yes     1.00  1.00  1.00  1.00    0     0     0     -    5   
openai_sdk  meeting_007  1   yes  4.43   1349     4      yes   yes     1.00  1.00  1.00  1.00    0     0     0     yes  5   
openai_sdk  meeting_008  1   yes  6.55   1383     6      yes   yes     1.00  1.00  1.00  1.39    0     0     0     -    5   
openai_sdk  meeting_009  1   yes  3.38   1124     3      yes   yes     1.00  1.00  1.00  1.00    0     0     0     -    5   
openai_sdk  meeting_010  1   yes  2.39   659      2      yes   yes     1.00  1.00  1.00  1.00    0     0     0     -    5   
----------  -----------  --  ---  -----  -------  -----  ----  ------  ----  ----  ----  ------  ----  ----  ----  ---  ----
CrewAI      MEAN         10  yes  8.92   1657.10  4.90   0.90  1.00    1.00  1.00  1.00  1.15    0.30  0.00  0.00  yes  4.90
byLLM       MEAN         10  yes  19.06  1320.30  4.30   1.00  1.00    1.00  1.00  1.00  1.09    0.00  0.00  0.00  yes  5.00
openai_sdk  MEAN         10  yes  4.35   1334.40  4.30   1.00  1.00    1.00  1.00  1.00  1.08    0.00  0.00  0.00  yes  4.90

Detailed scores written to /home/xiaoyu/Jac-Agent-Comparison/meeting-assistant/eval/out/
