
impl        case         r   ok   time   tokens   tasks  rng   consis
----------  -----------  --  ---  -----  -------  -----  ----  ------
CrewAI      meeting_001  1   yes  14.05  2717     10     yes   yes   
CrewAI      meeting_002  1   yes  11.25  2045     10     NO    yes   
CrewAI      meeting_003  1   yes  4.78   1003     0      yes   yes   
CrewAI      meeting_004  1   yes  9.06   1420     3      yes   yes   
CrewAI      meeting_005  1   yes  12.69  2348     7      yes   yes   
CrewAI      meeting_006  1   yes  7.67   1404     3      yes   yes   
CrewAI      meeting_007  1   yes  8.94   1596     4      yes   yes   
CrewAI      meeting_008  1   yes  7.88   1550     6      yes   yes   
CrewAI      meeting_009  1   yes  6.86   1485     4      yes   yes   
CrewAI      meeting_010  1   yes  5.98   1003     2      yes   yes   
NOOA        meeting_001  1   yes  19.13  3794     7      yes   yes   
NOOA        meeting_002  1   yes  19.47  3124     7      yes   yes   
NOOA        meeting_003  1   yes  4.10   1273     0      yes   yes   
NOOA        meeting_004  1   yes  8.04   1906     3      yes   yes   
NOOA        meeting_005  1   yes  17.19  3540     8      yes   yes   
NOOA        meeting_006  1   yes  8.66   1903     3      yes   yes   
NOOA        meeting_007  1   yes  8.41   2187     5      yes   yes   
NOOA        meeting_008  1   yes  10.60  2339     6      yes   yes   
NOOA        meeting_009  1   yes  22.07  1935     3      yes   yes   
NOOA        meeting_010  1   yes  7.75   1350     2      yes   yes   
byLLM       meeting_001  1   yes  24.41  2425     9      yes   yes   
byLLM       meeting_002  1   yes  19.98  1548     6      yes   yes   
byLLM       meeting_003  1   yes  15.94  705      0      yes   yes   
byLLM       meeting_004  1   yes  18.16  1148     3      yes   yes   
byLLM       meeting_005  1   yes  19.45  2003     7      yes   yes   
byLLM       meeting_006  1   yes  19.59  1070     3      yes   yes   
byLLM       meeting_007  1   yes  18.66  1316     4      yes   yes   
byLLM       meeting_008  1   yes  19.92  1251     6      yes   yes   
byLLM       meeting_009  1   yes  17.58  1115     3      yes   yes   
byLLM       meeting_010  1   yes  16.93  622      2      yes   yes   
openai_sdk  meeting_001  1   yes  6.74   2253     9      yes   yes   
openai_sdk  meeting_002  1   yes  5.95   1638     6      yes   yes   
openai_sdk  meeting_003  1   yes  1.37   706      0      yes   yes   
openai_sdk  meeting_004  1   yes  3.13   1119     3      yes   yes   
openai_sdk  meeting_005  1   yes  5.94   2048     7      yes   yes   
openai_sdk  meeting_006  1   yes  3.68   1065     3      yes   yes   
openai_sdk  meeting_007  1   yes  4.43   1349     4      yes   yes   
openai_sdk  meeting_008  1   yes  6.55   1383     6      yes   yes   
openai_sdk  meeting_009  1   yes  3.38   1124     3      yes   yes   
openai_sdk  meeting_010  1   yes  2.39   659      2      yes   yes   
----------  -----------  --  ---  -----  -------  -----  ----  ------
CrewAI      MEAN         10  yes  8.92   1657.10  4.90   0.90  1.00  
NOOA        MEAN         10  yes  12.54  2335.10  4.40   1.00  1.00  
byLLM       MEAN         10  yes  19.06  1320.30  4.30   1.00  1.00  
openai_sdk  MEAN         10  yes  4.35   1334.40  4.30   1.00  1.00  

Detailed scores written to /home/xiaoyu/Jac-Agent-Comparison/meeting-assistant/eval/out/
